Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1259,10,10.852148,10.829506,0.025698,78.255004,78.255004,0.000000,4276400.000000,4276400
rustls,EXP_DBL_1260,10,10.859147,10.821137,0.022932,77.322529,77.322529,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1261,10,10.827806,10.807277,0.038492,78.151815,78.151815,0.000000,4293712.000000,4293712
rustls,EXP_DBL_1262,10,10.866411,10.851166,0.058404,79.122910,79.122910,0.000000,4246288.000000,4246288
rustls,EXP_DBL_1263,10,10.826973,10.798904,0.072367,77.096540,77.096540,0.000000,4302256.000000,4302256
rustls,EXP_DBL_1264,10,10.837469,10.807859,0.028726,77.467155,77.467155,0.000000,4293424.000000,4293424
rustls,EXP_DBL_1265,10,10.851038,10.835919,0.023290,78.805221,78.805221,0.000000,4293232.000000,4293232
rustls,EXP_DBL_1266,10,10.836955,10.812182,0.046551,79.016146,79.016146,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1267,10,10.845526,10.820959,0.077335,78.121683,78.121683,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1268,10,10.823947,10.814380,0.030482,77.613667,77.613667,0.000000,4291280.000000,4291280
rustls,EXP_DBL_1269,10,10.837939,10.815176,0.045435,78.242076,78.242076,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1270,10,10.828884,10.810914,0.037323,78.359729,78.359729,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1271,10,10.840768,10.814878,0.064756,78.593595,78.593595,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1272,10,10.836743,10.819024,0.056434,78.049768,78.049768,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1273,10,10.829490,10.805986,0.056032,77.314398,77.314398,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1274,10,10.847699,10.828988,0.083936,77.181328,77.181328,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1275,10,10.835115,10.823541,0.022733,77.689080,77.689080,0.000000,4293392.000000,4293392
rustls,EXP_DBL_1276,10,10.833508,10.818175,0.015677,79.220212,79.220212,0.000000,4293392.000000,4293392
