Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_DBL_0020,10,13.004517,12.856548,0.374345,42990733.100000,42580829.500000,1312054.500000,4879.800000,4924.500000,150.000000,48.398459,48.398459,0.000000,173009392.000000,173009392
hyper,EXP_DBL_0021,10,13.154960,13.116062,0.230300,43531749.760000,43381285.550000,721539.375000,4818.400000,4834.000000,79.000000,48.752815,48.752815,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0022,10,13.134075,13.260477,0.370031,43408244.830000,43871442.750000,1329544.950000,4832.600000,4779.500000,148.500000,48.811038,48.811038,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0023,10,13.070618,13.114897,0.319444,43202595.790000,43268859.000000,864818.175000,4854.600000,4846.500000,97.750000,48.854142,48.854142,0.000000,173007280.000000,173007280
hyper,EXP_DBL_0024,10,13.222309,13.185289,0.224157,43686845.530000,43424596.700000,857981.150000,4800.400000,4828.500000,94.750000,48.646532,48.646532,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0025,10,13.220901,13.244503,0.261189,43776106.730000,43861180.400000,648519.400000,4790.700000,4781.000000,71.250000,48.416976,48.416976,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0026,10,13.323478,13.297874,0.149115,44082876.170000,44083853.850000,630192.600000,4757.300000,4757.000000,68.000000,48.270988,48.270988,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0027,10,13.059898,13.048186,0.308004,43213389.810000,43238389.550000,1123837.275000,4853.600000,4849.500000,126.500000,48.632598,48.632598,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0028,10,13.083028,13.052534,0.327779,43221909.290000,43040577.850000,937492.375000,4852.600000,4872.000000,105.250000,48.898353,48.898353,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0029,10,13.124031,13.166718,0.206817,43273516.800000,43375943.700000,1167674.750000,4846.700000,4834.000000,130.750000,48.770183,48.770183,0.000000,173009584.000000,173009584
hyper,EXP_DBL_0030,10,13.193323,13.155143,0.121232,43635634.340000,43500412.850000,237893.475000,4806.100000,4820.500000,26.000000,48.850257,48.850257,0.000000,173009584.000000,173009584
