Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1103,10,11.307279,0.373487,0.033031,7.312126,0.000000,0.000000,417616
A,EXP_DBL_1101,10,11.314713,0.372722,0.032941,7.599198,0.000000,0.000000,417616
B,EXP_DBL_1395,10,17.955976,0.580489,0.032328,8.064451,0.000000,0.000000,417488
A,EXP_DBL_1388,10,13.565171,0.419244,0.030906,7.885815,0.000000,0.000000,417488
A,EXP_DBL_1146,10,11.702899,0.355154,0.030348,7.210051,0.000000,0.000000,417616
B,EXP_DBL_1085,10,16.549630,0.483766,0.029231,7.722849,0.000000,0.000000,417616
B,EXP_DBL_1084,10,17.071269,0.484830,0.028400,7.162836,0.000000,0.000000,417616
B,EXP_DBL_1403,10,17.810251,0.503574,0.028274,7.781103,0.000000,0.000000,417488
B,EXP_DBL_1082,10,16.907568,0.477279,0.028229,7.290867,0.000000,0.000000,417616
B,EXP_DBL_1416,10,17.616715,0.495459,0.028124,8.004172,0.000000,0.000000,417488
B,EXP_DBL_1431,10,17.851123,0.499329,0.027972,7.964659,0.000000,0.000000,417424
A,EXP_DBL_1080,10,11.299083,0.313730,0.027766,7.190495,0.000000,0.000000,417616
B,EXP_DBL_1402,10,18.155566,0.503263,0.027719,9.392498,0.000000,0.000000,417472
B,EXP_DBL_1418,10,17.684717,0.477910,0.027024,8.171892,0.000000,0.000000,417488
B,EXP_DBL_1424,10,17.995275,0.480962,0.026727,7.360577,0.000000,0.000000,416112
B,EXP_DBL_1414,10,17.614177,0.470758,0.026726,8.099231,0.000000,0.000000,417488
B,EXP_DBL_1407,10,17.743126,0.469162,0.026442,8.171902,0.000000,0.000000,417488
B,EXP_DBL_1430,10,17.651421,0.463089,0.026235,8.014849,0.000000,0.000000,417488
B,EXP_DBL_1409,10,18.072646,0.473336,0.026191,7.094700,0.000000,0.000000,417488
B,EXP_DBL_1419,10,17.652014,0.453719,0.025704,7.998782,0.000000,0.000000,417520
B,EXP_DBL_1080,10,16.562070,0.424827,0.025651,7.190495,0.000000,0.000000,417616
