Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_1656,10,10.068142,10.074132,0.057843,879.731000,879.920000,7.615000,0.008654,,,,60.765284,60.765284,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_1546,10,10.115770,10.121887,0.052319,886.546000,882.525000,7.627500,0.008643,,,,61.530511,61.530511,0.000000,0.000000,4044336.000000,4044336
tokio,EXP_DBL_0833,10,9.802687,9.477818,0.960722,952.466000,950.270000,8.210000,0.008640,,,,61.927102,61.927102,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_1348,10,10.058136,10.133780,0.063708,879.323000,878.680000,7.565000,0.008610,,,,60.865743,60.865743,0.000000,0.000000,4045240.000000,4045240
tokio,EXP_DBL_0890,10,9.802027,9.423780,0.987322,955.546000,954.255000,8.200000,0.008593,,,,61.617698,61.617698,0.000000,0.000000,4108264.000000,4108264
tokio,EXP_DBL_1355,10,10.101921,10.102833,0.072717,881.251000,876.090000,7.527500,0.008592,,,,60.506957,60.506957,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_1532,10,10.113357,10.085933,0.068511,883.318000,880.625000,7.557500,0.008582,,,,60.800426,60.800426,0.000000,0.000000,4044432.000000,4044432
tokio,EXP_DBL_1310,10,10.109275,10.087246,0.019963,880.146000,877.670000,7.530000,0.008580,,,,61.402999,61.402999,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_1450,10,10.106029,10.082590,0.059860,885.548000,885.610000,7.595000,0.008576,,,,61.028414,61.028414,0.000000,0.000000,4042528.000000,4042528
tokio,EXP_DBL_1556,10,10.124312,10.116360,0.033061,890.536000,890.370000,7.635000,0.008575,,,,60.926469,60.926469,0.000000,0.000000,4044336.000000,4044336
tokio,EXP_ABL_009_disable-advanced-peeling,10,10.240301,10.239638,0.040131,876.486000,875.795000,7.490000,0.008552,,,,61.818141,61.818141,0.000000,0.000000,4033128.000000,4033128
tokio,EXP_DBL_0539,10,10.042418,10.055706,0.073517,884.540000,880.695000,7.530000,0.008550,,,,59.358036,59.358036,0.000000,0.000000,4043736.000000,4043736
tokio,EXP_DBL_0281,10,10.063527,10.049473,0.068267,888.659000,886.065000,7.567500,0.008541,,,,59.413873,59.413873,0.000000,0.000000,4054680.000000,4054680
tokio,EXP_DBL_1345,10,10.277438,10.168905,0.141581,897.792000,887.515000,7.575000,0.008535,,,,60.769140,60.769140,0.000000,0.000000,3980344.000000,3980344
tokio,EXP_DBL_0669,10,10.115098,10.022055,0.018609,887.502000,876.960000,7.480000,0.008529,,,,58.169921,58.169921,0.000000,0.000000,4042272.000000,4042272
tokio,EXP_DBL_0175,10,10.132222,10.040821,0.054675,882.649000,878.065000,7.487500,0.008527,,,,58.321838,58.321838,0.000000,0.000000,4032760.000000,4032760
tokio,EXP_DBL_0102,10,9.954937,10.007510,0.071888,886.426000,876.025000,7.470000,0.008527,,,,59.058117,59.058117,0.000000,0.000000,4041384.000000,4041384
tokio,EXP_DBL_0450,10,10.037959,10.016969,0.049820,878.539000,876.580000,7.462500,0.008513,,,,59.693550,59.693550,0.000000,0.000000,4041376.000000,4041376
tokio,EXP_DBL_1025,10,10.037073,10.021690,0.054923,884.546000,881.220000,7.500000,0.008511,,,,58.614395,58.614395,0.000000,0.000000,4041384.000000,4041384
tokio,EXP_DBL_0759,10,10.064546,10.048161,0.064824,894.372000,879.595000,7.477500,0.008501,,,,58.610228,58.610228,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0621,10,10.035307,10.010286,0.055693,879.123000,878.365000,7.460000,0.008493,,,,58.427822,58.427822,0.000000,0.000000,4040504.000000,4040504
tokio,EXP_DBL_1444,10,10.092354,10.077545,0.074285,876.952000,876.960000,7.447500,0.008492,,,,60.563793,60.563793,0.000000,0.000000,4042880.000000,4042880
tokio,EXP_DBL_1273,10,10.094912,10.053192,0.033669,880.613000,880.625000,7.477500,0.008491,,,,60.529120,60.529120,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_0958,10,10.127797,10.109699,0.040654,885.784000,884.485000,7.492500,0.008471,,,,58.144255,58.144255,0.000000,0.000000,4048728.000000,4048728
tokio,EXP_DBL_1216,10,10.027635,10.021153,0.060189,872.833000,870.500000,7.370000,0.008466,,,,58.713500,58.713500,0.000000,0.000000,4044360.000000,4044360
tokio,EXP_DBL_0781,10,10.160718,10.061687,0.058172,892.863000,884.060000,7.482500,0.008464,,,,58.636896,58.636896,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0729,10,10.059237,10.039116,0.043668,883.113000,878.600000,7.435000,0.008462,,,,59.367760,59.367760,0.000000,0.000000,4042272.000000,4042272
tokio,EXP_DBL_0641,10,10.122955,10.029018,0.072992,876.241000,876.640000,7.417500,0.008461,,,,58.590673,58.590673,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0674,10,10.074891,10.078221,0.054852,881.927000,876.835000,7.385000,0.008422,,,,58.944377,58.944377,0.000000,0.000000,4038608.000000,4038608
tokio,EXP_DBL_0599,10,10.189210,10.105386,0.063079,886.300000,881.265000,7.415000,0.008414,,,,58.600864,58.600864,0.000000,0.000000,4054760.000000,4054760
tokio,EXP_DBL_0260,10,10.104043,10.082047,0.095841,891.894000,883.720000,7.422500,0.008399,,,,58.482718,58.482718,0.000000,0.000000,4052920.000000,4052920
tokio,EXP_DBL_1312,10,10.090021,10.077155,0.075603,878.796000,874.605000,7.345000,0.008398,,,,60.641985,60.641985,0.000000,0.000000,4050376.000000,4050376
tokio,EXP_DBL_1393,10,10.067242,10.067929,0.061218,881.806000,880.830000,7.390000,0.008390,,,,59.126713,59.126713,0.000000,0.000000,4045544.000000,4045544
tokio,EXP_DBL_0916,10,10.264354,10.250132,0.044479,886.055000,887.480000,7.427500,0.008369,,,,62.585380,62.585380,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0663,10,10.067485,10.061739,0.048677,882.988000,879.310000,7.357500,0.008367,,,,59.348763,59.348763,0.000000,0.000000,4064392.000000,4064392
tokio,EXP_DBL_0625,10,10.122612,10.014871,0.040650,880.668000,879.720000,7.355000,0.008361,,,,58.606598,58.606598,0.000000,0.000000,4041368.000000,4041368
